Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",129063,83781
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",95972,11889
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",82303,30903
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",78708,7902
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",85227,26731
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",87188,27852
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",93594,33355
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",101063,18013
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",105543,32595
1500000US530330035001,530330035001,"Block Group 1, Census Tract 35, King County, Washington",86544,33102
1500000US530330035002,530330035002,"Block Group 2, Census Tract 35, King County, Washington",81806,12871
1500000US530330035003,530330035003,"Block Group 3, Census Tract 35, King County, Washington",67639,22157
1500000US530330036001,530330036001,"Block Group 1, Census Tract 36, King County, Washington",50313,11377
1500000US530330036002,530330036002,"Block Group 2, Census Tract 36, King County, Washington",90924,44842
1500000US530330036003,530330036003,"Block Group 3, Census Tract 36, King County, Washington",82554,26017
1500000US530330036004,530330036004,"Block Group 4, Census Tract 36, King County, Washington",64810,5934
1500000US530330038001,530330038001,"Block Group 1, Census Tract 38, King County, Washington",86625,22898
1500000US530330038002,530330038002,"Block Group 2, Census Tract 38, King County, Washington",106875,22746
1500000US530330039001,530330039001,"Block Group 1, Census Tract 39, King County, Washington",96536,16851
1500000US530330039002,530330039002,"Block Group 2, Census Tract 39, King County, Washington",145833,35741
1500000US530330040001,530330040001,"Block Group 1, Census Tract 40, King County, Washington",61042,17005
1500000US530330040002,530330040002,"Block Group 2, Census Tract 40, King County, Washington",157426,19865
1500000US530330041001,530330041001,"Block Group 1, Census Tract 41, King County, Washington",74708,13568
1500000US530330041002,530330041002,"Block Group 2, Census Tract 41, King County, Washington",169063,34211
1500000US530330041003,530330041003,"Block Group 3, Census Tract 41, King County, Washington",238021,40609
1500000US530330041004,530330041004,"Block Group 4, Census Tract 41, King County, Washington",95972,29199
1500000US530330041006,530330041006,"Block Group 6, Census Tract 41, King County, Washington",195089,86386
1500000US530330042001,530330042001,"Block Group 1, Census Tract 42, King County, Washington",111164,25407
1500000US530330042002,530330042002,"Block Group 2, Census Tract 42, King County, Washington",110000,10274
1500000US530330042003,530330042003,"Block Group 3, Census Tract 42, King County, Washington",82417,13565
1500000US530330042004,530330042004,"Block Group 4, Census Tract 42, King County, Washington",127813,43169
1500000US530330042005,530330042005,"Block Group 5, Census Tract 42, King County, Washington",145982,47277
1500000US530330043011,530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",30357,7693
1500000US530330043012,530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",70469,34069
1500000US530330043013,530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",98214,31765
1500000US530330043021,530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",11638,9165
1500000US530330043022,530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",20147,5650
1500000US530330044001,530330044001,"Block Group 1, Census Tract 44, King County, Washington",93750,36569
1500000US530330044002,530330044002,"Block Group 2, Census Tract 44, King County, Washington",68816,33068
1500000US530330044003,530330044003,"Block Group 3, Census Tract 44, King County, Washington",59904,46588
1500000US530330044004,530330044004,"Block Group 4, Census Tract 44, King County, Washington",34152,14176
1500000US530330045001,530330045001,"Block Group 1, Census Tract 45, King County, Washington",58661,8612
1500000US530330045002,530330045002,"Block Group 2, Census Tract 45, King County, Washington",106719,24248
1500000US530330046001,530330046001,"Block Group 1, Census Tract 46, King County, Washington",104286,39760
1500000US530330046002,530330046002,"Block Group 2, Census Tract 46, King County, Washington",130694,19636
