SERIALNO,HINCP,NP,WGTP,AMI_80,HINCP_threshold,AMI_60,AMI_50,AMI_40
230304,136034.07571336412,2,67,0,Over 60,0,0,0
230486,293860.8313004396,2,116,0,Over 60,0,0,0
230827,136138.7978655684,2,125,0,Over 60,0,0,0
231057,64833.48442967185,4,41,41,Over 60,0,0,0
231494,11938.325351288306,1,102,102,Under 60,102,102,102
231875,35081.92098843493,1,143,143,Under 60,143,143,0
232184,92679.10470079079,1,102,0,Over 60,0,0,0
232443,140851.29471476114,8,98,0,Over 60,0,0,0
232458,261805.38051070846,2,203,0,Over 60,0,0,0
232766,30233.285341376613,1,71,71,Under 60,71,71,0
233372,168445.58182058984,2,166,0,Over 60,0,0,0
233399,105769.37372632622,1,58,0,Over 60,0,0,0
233585,511044.1027569029,3,71,0,Over 60,0,0,0
234579,154988.7852623394,2,138,0,Over 60,0,0,0
234709,2094.4430440856677,1,67,67,Under 60,67,67,67
235457,85767.4426553081,2,64,0,Over 60,0,0,0
237704,188499.8739677101,4,73,0,Over 60,0,0,0
238157,13090.269025535423,1,66,66,Under 60,66,66,66
238501,57283.01725574301,1,89,0,Over 60,0,0,0
238515,162319.33591663925,2,123,0,Over 60,0,0,0
239193,36024.420358273484,1,58,58,Under 60,58,0,0
240112,14870.54561300824,2,382,382,Under 60,382,382,382
240348,245364.00261463597,3,141,0,Over 60,0,0,0
240360,46601.35773090611,3,92,92,Under 60,92,0,0
241459,14661.101308599675,1,172,172,Under 60,172,172,172
242752,261805.38051070846,4,121,0,Over 60,0,0,0
243455,52361.07610214169,1,55,55,Over 60,0,0,0
243727,146820.4573904053,1,132,0,Over 60,0,0,0
243944,141374.90547578258,1,233,0,Over 60,0,0,0
244067,37909.41909795059,1,101,101,Under 60,101,0,0
244169,119550.8089564099,2,266,0,Over 60,0,0,0
244895,199286.25564475128,2,70,0,Over 60,0,0,0
245931,178446.5473560989,3,121,0,Over 60,0,0,0
247697,21478.513417098522,1,130,130,Under 60,130,130,130
247887,98962.4338330478,2,71,0,Over 60,0,0,0
247897,47124.968491927524,1,120,120,Over 60,0,0,0
248050,30159.979834833615,2,108,108,Under 60,108,108,108
248276,50643.63280599145,2,66,66,Over 60,0,0,0
250030,119383.25351288306,2,120,0,Over 60,0,0,0
250356,9006.105089568371,1,44,44,Under 60,44,44,44
251398,214680.41201878095,4,118,0,Over 60,0,0,0
251492,15607.789564526396,1,46,46,Under 60,46,46,46
252902,29845.813378220766,1,357,357,Under 60,357,357,0
252944,130902.69025535423,4,87,0,Over 60,0,0,0
254434,521516.3179773313,2,60,0,Over 60,0,0,0
254459,198973.13640966045,4,131,0,Over 60,0,0,0
255104,6283.329132257003,5,73,73,Under 60,73,73,73
