block_group,mode_index,affordability_index
5.3033E+11,0.577857143,0.53950581
5.3033E+11,0.8,0.744375383
5.3033E+11,0.776428571,0.584634018
5.3033E+11,0.661428571,0.398250211
5.3033E+11,0.757857143,0.358963333
5.3033E+11,0.812857143,0.698852047
5.3033E+11,0.654285714,0.500123218
5.3033E+11,0.835714286,1
5.3033E+11,0.706428571,0.391525552
5.3033E+11,0.613571429,0.33373192
5.3033E+11,0.548571429,0.605090381
5.3033E+11,0.814285714,0.691420741
5.3033E+11,0.795,0.628436351
5.3033E+11,0.875714286,0.598406224
5.3033E+11,0.732857143,0.557498354
5.3033E+11,0.485714286,0.226910571
5.3033E+11,0.704285714,0.278500591
5.3033E+11,0.535714286,0.46905893
5.3033E+11,0.811428571,0.66870503
5.3033E+11,0.66,0.370453644
5.3033E+11,0.812142857,0.415403815
5.3033E+11,0.82,0.729439675
5.3033E+11,0.814285714,0.564990029
5.3033E+11,0.612142857,0.299023322
5.3033E+11,0.83,0.899901093
5.3033E+11,0.767857143,0.370834962
5.3033E+11,0.62,0.473518832
5.3033E+11,0.527857143,0.482993574
5.3033E+11,0.613571429,0.566683204
5.3033E+11,0.802142857,0.675204905
