Id,Id2,Geography,Race Total,Margin of Error; Total:,White alone,Margin of Error; Total: - White alone,Black or African American alone,Margin of Error; Total: - Black or African American alone,American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Asian alone,Margin of Error; Total: - Asian alone,Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Some other race alone,Margin of Error; Total: - Some other race alone,Two or more races,Margin of Error; Total: - Two or more races:,Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US530330251014,530330251014,"Block Group 4, Census Tract 251.01, King County, Washington",2119,319,1480,276,90,145,0,12,478,231,0,12,30,35,41,72,0,12,41,72
1500000US530330251021,530330251021,"Block Group 1, Census Tract 251.02, King County, Washington",1611,475,822,251,0,12,0,12,392,275,0,12,85,128,312,447,298,445,14,23
1500000US530330251022,530330251022,"Block Group 2, Census Tract 251.02, King County, Washington",1565,529,442,217,254,268,177,254,438,215,0,12,53,62,201,242,0,12,201,242
1500000US530330251023,530330251023,"Block Group 3, Census Tract 251.02, King County, Washington",3522,601,1837,430,96,97,54,86,1080,397,0,12,133,145,322,298,45,71,277,286
1500000US530330251024,530330251024,"Block Group 4, Census Tract 251.02, King County, Washington",1378,390,823,355,21,33,0,12,290,167,0,12,31,52,213,277,41,65,172,214
1500000US530330252001,530330252001,"Block Group 1, Census Tract 252, King County, Washington",1438,502,908,333,74,99,0,12,456,405,0,12,0,12,0,12,0,12,0,12
1500000US530330252002,530330252002,"Block Group 2, Census Tract 252, King County, Washington",2300,413,1351,360,48,41,5,8,645,290,0,12,101,134,150,151,16,26,134,149
1500000US530330252003,530330252003,"Block Group 3, Census Tract 252, King County, Washington",1907,555,1004,422,537,260,0,12,88,75,0,12,254,392,24,33,19,30,5,13
1500000US530330252004,530330252004,"Block Group 4, Census Tract 252, King County, Washington",1556,371,1132,335,72,59,0,12,137,103,0,12,21,36,194,136,60,105,134,95
1500000US530330252005,530330252005,"Block Group 5, Census Tract 252, King County, Washington",1277,331,931,298,73,86,0,12,181,172,0,12,32,52,60,72,0,12,60,72
1500000US530330253011,530330253011,"Block Group 1, Census Tract 253.01, King County, Washington",1578,361,1356,342,179,134,0,12,23,32,0,12,0,12,20,28,0,12,20,28
1500000US530330253012,530330253012,"Block Group 2, Census Tract 253.01, King County, Washington",1529,311,1296,293,14,24,0,12,147,129,0,12,0,12,72,110,0,12,72,110
1500000US530330253013,530330253013,"Block Group 3, Census Tract 253.01, King County, Washington",1518,372,786,186,76,73,17,27,557,357,0,12,0,12,82,83,0,12,82,83
1500000US530330253021,530330253021,"Block Group 1, Census Tract 253.02, King County, Washington",2012,406,1317,290,291,248,17,27,260,167,0,12,11,19,116,117,43,60,73,68
1500000US530330253022,530330253022,"Block Group 2, Census Tract 253.02, King County, Washington",1854,413,1127,282,201,111,13,20,362,220,0,12,0,12,151,86,0,12,151,86
1500000US530330253023,530330253023,"Block Group 3, Census Tract 253.02, King County, Washington",1000,429,551,285,368,258,10,15,0,12,0,12,6,9,65,78,1,5,64,77
1500000US530330254001,530330254001,"Block Group 1, Census Tract 254, King County, Washington",1014,282,588,212,47,59,25,36,116,106,43,65,0,12,195,155,133,154,62,56
1500000US530330254002,530330254002,"Block Group 2, Census Tract 254, King County, Washington",1956,495,906,267,45,42,0,12,558,375,0,12,306,260,141,117,0,12,141,117
1500000US530330254003,530330254003,"Block Group 3, Census Tract 254, King County, Washington",2642,475,1462,332,347,205,8,13,480,249,62,70,26,29,257,199,0,12,257,199
1500000US530330254004,530330254004,"Block Group 4, Census Tract 254, King County, Washington",1196,402,850,259,0,12,2,4,3,8,0,12,188,295,153,132,0,12,153,132
1500000US530330255001,530330255001,"Block Group 1, Census Tract 255, King County, Washington",2426,472,1071,295,345,187,0,12,652,288,0,12,319,280,39,34,14,23,25,23
1500000US530330255002,530330255002,"Block Group 2, Census Tract 255, King County, Washington",1305,328,906,268,17,22,0,12,231,166,0,12,90,146,61,58,0,12,61,58
1500000US530330255003,530330255003,"Block Group 3, Census Tract 255, King County, Washington",1620,334,826,304,120,113,14,17,214,160,10,16,368,219,68,61,38,56,30,26
1500000US530330256011,530330256011,"Block Group 1, Census Tract 256.01, King County, Washington",966,250,588,182,84,100,0,12,180,151,0,12,93,134,21,26,0,12,21,26
1500000US530330256012,530330256012,"Block Group 2, Census Tract 256.01, King County, Washington",1937,384,1271,324,114,120,46,70,62,45,0,12,305,248,139,81,0,12,139,81
1500000US530330256013,530330256013,"Block Group 3, Census Tract 256.01, King County, Washington",1968,328,610,200,115,94,0,12,1148,248,0,12,35,51,60,66,0,12,60,66
1500000US530330256021,530330256021,"Block Group 1, Census Tract 256.02, King County, Washington",2126,375,1196,228,9,15,0,12,746,260,0,12,0,12,175,97,0,12,175,97
1500000US530330256022,530330256022,"Block Group 2, Census Tract 256.02, King County, Washington",1282,281,1216,286,0,12,0,12,16,25,0,12,0,12,50,47,0,12,50,47
1500000US530330256023,530330256023,"Block Group 3, Census Tract 256.02, King County, Washington",2933,500,1550,307,43,47,0,12,1062,397,0,12,27,44,251,225,0,12,251,225
1500000US530330257011,530330257011,"Block Group 1, Census Tract 257.01, King County, Washington",690,189,567,180,0,12,0,12,17,21,9,16,43,49,54,44,16,25,38,36
1500000US530330257012,530330257012,"Block Group 2, Census Tract 257.01, King County, Washington",1513,524,871,270,471,529,0,12,69,86,0,12,0,12,102,109,0,12,102,109
1500000US530330257013,530330257013,"Block Group 3, Census Tract 257.01, King County, Washington",1350,720,1141,699,87,140,0,12,113,121,0,12,0,12,9,15,0,12,9,15
1500000US530330257014,530330257014,"Block Group 4, Census Tract 257.01, King County, Washington",818,279,366,168,154,122,0,12,114,91,0,12,83,121,101,87,0,12,101,87
1500000US530330257015,530330257015,"Block Group 5, Census Tract 257.01, King County, Washington",1362,418,1020,407,157,114,34,55,0,12,0,12,107,153,44,53,0,12,44,53
1500000US530330257021,530330257021,"Block Group 1, Census Tract 257.02, King County, Washington",1242,252,698,239,237,162,0,12,253,189,0,12,38,60,16,19,0,12,16,19
