Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",515,74,30,35,0,12,30,35,485,77,47,38,438,86
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",500,120,43,41,19,31,24,28,457,130,15,26,442,133
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",895,178,31,34,16,24,15,24,864,183,112,72,752,181
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",563,115,70,52,36,41,34,40,493,119,71,49,422,130
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",652,156,50,43,14,23,36,42,602,155,112,67,490,152
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",234,60,0,12,0,12,0,12,234,60,25,40,209,64
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",725,151,78,110,0,12,78,110,647,136,93,54,554,151
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",481,133,0,12,0,12,0,12,481,133,71,49,410,129
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",638,77,46,42,14,23,32,36,592,88,30,34,562,98
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",445,90,0,12,0,12,0,12,445,90,76,60,369,91
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",910,125,70,57,0,12,70,57,840,130,56,53,784,137
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",663,128,50,41,13,21,37,36,613,134,64,55,549,123
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",549,112,46,44,0,12,46,44,503,115,25,30,478,119
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",544,65,20,21,0,12,20,21,524,65,35,28,489,69
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",519,87,0,12,0,12,0,12,519,87,50,30,469,89
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",441,58,24,23,7,12,17,19,417,63,58,45,359,62
1500000US530330035001,530330035001,"Block Group 1, Census Tract 35, King County, Washington",628,68,23,21,16,18,7,12,605,72,70,35,535,76
1500000US530330035002,530330035002,"Block Group 2, Census Tract 35, King County, Washington",689,82,15,17,0,12,15,17,674,84,62,36,612,84
1500000US530330035003,530330035003,"Block Group 3, Census Tract 35, King County, Washington",559,97,0,12,0,12,0,12,559,97,118,60,441,88
1500000US530330036001,530330036001,"Block Group 1, Census Tract 36, King County, Washington",736,115,15,24,0,12,15,24,721,113,57,42,664,120
1500000US530330036002,530330036002,"Block Group 2, Census Tract 36, King County, Washington",785,142,94,51,63,48,31,35,691,139,58,47,633,144
1500000US530330036003,530330036003,"Block Group 3, Census Tract 36, King County, Washington",620,89,27,31,0,12,27,31,593,90,101,73,492,94
1500000US530330036004,530330036004,"Block Group 4, Census Tract 36, King County, Washington",1197,177,28,34,15,25,13,22,1169,175,279,142,890,160
1500000US530330038001,530330038001,"Block Group 1, Census Tract 38, King County, Washington",469,46,5,8,5,8,0,12,464,45,126,51,338,45
1500000US530330038002,530330038002,"Block Group 2, Census Tract 38, King County, Washington",378,44,10,13,10,13,0,12,368,46,51,26,317,49
1500000US530330039001,530330039001,"Block Group 1, Census Tract 39, King County, Washington",773,68,39,41,11,16,28,39,734,64,83,37,651,71
