Id,Id2,Geography,Tenure Total,Margin of Error; Total:,Own,Margin of Error; Total: - Owner occupied,Rent,Margin of Error; Total: - Renter occupied
1500000US530330303131,530330303131,"Block Group 1, Census Tract 303.13, King County, Washington",771,126,404,85,367,118
1500000US530330303132,530330303132,"Block Group 2, Census Tract 303.13, King County, Washington",920,139,286,112,634,140
1500000US530330303141,530330303141,"Block Group 1, Census Tract 303.14, King County, Washington",781,120,190,76,591,124
1500000US530330303142,530330303142,"Block Group 2, Census Tract 303.14, King County, Washington",402,99,302,92,100,76
1500000US530330303143,530330303143,"Block Group 3, Census Tract 303.14, King County, Washington",699,119,329,83,370,103
1500000US530330304011,530330304011,"Block Group 1, Census Tract 304.01, King County, Washington",870,155,382,113,488,130
1500000US530330304012,530330304012,"Block Group 2, Census Tract 304.01, King County, Washington",537,109,464,104,73,59
1500000US530330304013,530330304013,"Block Group 3, Census Tract 304.01, King County, Washington",596,116,496,132,100,98
1500000US530330304014,530330304014,"Block Group 4, Census Tract 304.01, King County, Washington",384,132,314,128,70,50
1500000US530330304015,530330304015,"Block Group 5, Census Tract 304.01, King County, Washington",674,157,430,137,244,95
1500000US530330304031,530330304031,"Block Group 1, Census Tract 304.03, King County, Washington",650,91,568,83,82,68
1500000US530330304032,530330304032,"Block Group 2, Census Tract 304.03, King County, Washington",337,59,312,62,25,34
1500000US530330304033,530330304033,"Block Group 3, Census Tract 304.03, King County, Washington",693,86,683,86,10,15
1500000US530330304041,530330304041,"Block Group 1, Census Tract 304.04, King County, Washington",686,98,630,92,56,61
1500000US530330304042,530330304042,"Block Group 2, Census Tract 304.04, King County, Washington",487,84,398,84,89,46
1500000US530330304043,530330304043,"Block Group 3, Census Tract 304.04, King County, Washington",429,85,390,87,39,32
1500000US530330305011,530330305011,"Block Group 1, Census Tract 305.01, King County, Washington",369,66,134,44,235,72
1500000US530330305012,530330305012,"Block Group 2, Census Tract 305.01, King County, Washington",600,69,38,27,562,71
1500000US530330305031,530330305031,"Block Group 1, Census Tract 305.03, King County, Washington",890,123,117,62,773,127
1500000US530330305032,530330305032,"Block Group 2, Census Tract 305.03, King County, Washington",1125,134,803,128,322,111
1500000US530330305041,530330305041,"Block Group 1, Census Tract 305.04, King County, Washington",427,118,83,45,344,126
1500000US530330305042,530330305042,"Block Group 2, Census Tract 305.04, King County, Washington",418,80,222,58,196,69
1500000US530330305043,530330305043,"Block Group 3, Census Tract 305.04, King County, Washington",354,86,90,53,264,84
1500000US530330305044,530330305044,"Block Group 4, Census Tract 305.04, King County, Washington",733,103,490,84,243,93
1500000US530330306001,530330306001,"Block Group 1, Census Tract 306, King County, Washington",546,120,361,116,185,131
1500000US530330306002,530330306002,"Block Group 2, Census Tract 306, King County, Washington",617,106,350,92,267,97
1500000US530330306003,530330306003,"Block Group 3, Census Tract 306, King County, Washington",459,112,228,93,231,87
1500000US530330306004,530330306004,"Block Group 4, Census Tract 306, King County, Washington",592,133,203,77,389,126
1500000US530330307001,530330307001,"Block Group 1, Census Tract 307, King County, Washington",555,85,158,62,397,97
1500000US530330307002,530330307002,"Block Group 2, Census Tract 307, King County, Washington",524,93,260,71,264,84
1500000US530330307003,530330307003,"Block Group 3, Census Tract 307, King County, Washington",387,101,123,45,264,98
1500000US530330308011,530330308011,"Block Group 1, Census Tract 308.01, King County, Washington",705,148,470,133,235,94
1500000US530330308012,530330308012,"Block Group 2, Census Tract 308.01, King County, Washington",770,147,171,94,599,125
1500000US530330308013,530330308013,"Block Group 3, Census Tract 308.01, King County, Washington",1005,155,819,153,186,101
