Id,Id2,Geography,Pc_income,Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US530330035001,530330035001,"Block Group 1, Census Tract 35, King County, Washington",51663,7035
1500000US530330035002,530330035002,"Block Group 2, Census Tract 35, King County, Washington",56961,6719
1500000US530330035003,530330035003,"Block Group 3, Census Tract 35, King County, Washington",43736,6608
1500000US530330036001,530330036001,"Block Group 1, Census Tract 36, King County, Washington",43563,7091
1500000US530330036002,530330036002,"Block Group 2, Census Tract 36, King County, Washington",51290,15360
1500000US530330036003,530330036003,"Block Group 3, Census Tract 36, King County, Washington",57218,10407
1500000US530330036004,530330036004,"Block Group 4, Census Tract 36, King County, Washington",48269,10715
1500000US530330038001,530330038001,"Block Group 1, Census Tract 38, King County, Washington",53166,9271
1500000US530330038002,530330038002,"Block Group 2, Census Tract 38, King County, Washington",51385,8854
1500000US530330039001,530330039001,"Block Group 1, Census Tract 39, King County, Washington",44668,5746
1500000US530330039002,530330039002,"Block Group 2, Census Tract 39, King County, Washington",68330,8921
1500000US530330040001,530330040001,"Block Group 1, Census Tract 40, King County, Washington",55394,10536
1500000US530330040002,530330040002,"Block Group 2, Census Tract 40, King County, Washington",60701,11586
1500000US530330041001,530330041001,"Block Group 1, Census Tract 41, King County, Washington",67860,17986
1500000US530330041002,530330041002,"Block Group 2, Census Tract 41, King County, Washington",76152,18518
1500000US530330041003,530330041003,"Block Group 3, Census Tract 41, King County, Washington",116257,24250
1500000US530330041004,530330041004,"Block Group 4, Census Tract 41, King County, Washington",58845,17720
1500000US530330041005,530330041005,"Block Group 5, Census Tract 41, King County, Washington",80291,47372
1500000US530330041006,530330041006,"Block Group 6, Census Tract 41, King County, Washington",90386,36472
1500000US530330042001,530330042001,"Block Group 1, Census Tract 42, King County, Washington",75314,11129
1500000US530330042002,530330042002,"Block Group 2, Census Tract 42, King County, Washington",49574,11383
1500000US530330042003,530330042003,"Block Group 3, Census Tract 42, King County, Washington",68050,21705
1500000US530330042004,530330042004,"Block Group 4, Census Tract 42, King County, Washington",45880,7487
1500000US530330042005,530330042005,"Block Group 5, Census Tract 42, King County, Washington",63443,10149
1500000US530330043011,530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",22108,7332
1500000US530330043012,530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",54751,9660
1500000US530330043013,530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",62458,14723
1500000US530330043021,530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",13755,2861
1500000US530330043022,530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",15772,3605
1500000US530330044001,530330044001,"Block Group 1, Census Tract 44, King County, Washington",54409,17294
1500000US530330044002,530330044002,"Block Group 2, Census Tract 44, King County, Washington",45825,9249
1500000US530330044003,530330044003,"Block Group 3, Census Tract 44, King County, Washington",19831,7021
1500000US530330044004,530330044004,"Block Group 4, Census Tract 44, King County, Washington",19584,6961
1500000US530330045001,530330045001,"Block Group 1, Census Tract 45, King County, Washington",36293,7348
1500000US530330045002,530330045002,"Block Group 2, Census Tract 45, King County, Washington",46656,5958
1500000US530330046001,530330046001,"Block Group 1, Census Tract 46, King County, Washington",57254,10213
1500000US530330046002,530330046002,"Block Group 2, Census Tract 46, King County, Washington",57693,7417
1500000US530330046003,530330046003,"Block Group 3, Census Tract 46, King County, Washington",65197,17495
1500000US530330047001,530330047001,"Block Group 1, Census Tract 47, King County, Washington",50358,13362
1500000US530330047002,530330047002,"Block Group 2, Census Tract 47, King County, Washington",47325,8048
1500000US530330047003,530330047003,"Block Group 3, Census Tract 47, King County, Washington",60072,11895
1500000US530330047004,530330047004,"Block Group 4, Census Tract 47, King County, Washington",69329,17458
1500000US530330048001,530330048001,"Block Group 1, Census Tract 48, King County, Washington",57957,10313
1500000US530330048002,530330048002,"Block Group 2, Census Tract 48, King County, Washington",66507,20631
1500000US530330048003,530330048003,"Block Group 3, Census Tract 48, King County, Washington",53918,9399
1500000US530330048004,530330048004,"Block Group 4, Census Tract 48, King County, Washington",46900,7702
1500000US530330049001,530330049001,"Block Group 1, Census Tract 49, King County, Washington",47031,9650
1500000US530330049002,530330049002,"Block Group 2, Census Tract 49, King County, Washington",48642,8033
1500000US530330049003,530330049003,"Block Group 3, Census Tract 49, King County, Washington",63619,10914
1500000US530330049004,530330049004,"Block Group 4, Census Tract 49, King County, Washington",46994,8893
1500000US530330049005,530330049005,"Block Group 5, Census Tract 49, King County, Washington",48227,10218
1500000US530330050001,530330050001,"Block Group 1, Census Tract 50, King County, Washington",52148,10890
1500000US530330050002,530330050002,"Block Group 2, Census Tract 50, King County, Washington",57178,8218
1500000US530330050003,530330050003,"Block Group 3, Census Tract 50, King County, Washington",39094,4600
1500000US530330051001,530330051001,"Block Group 1, Census Tract 51, King County, Washington",52025,8848
1500000US530330051002,530330051002,"Block Group 2, Census Tract 51, King County, Washington",63086,9741
1500000US530330051003,530330051003,"Block Group 3, Census Tract 51, King County, Washington",53431,8547
1500000US530330052001,530330052001,"Block Group 1, Census Tract 52, King County, Washington",12670,4796
1500000US530330052002,530330052002,"Block Group 2, Census Tract 52, King County, Washington",19788,8242
1500000US530330052003,530330052003,"Block Group 3, Census Tract 52, King County, Washington",50581,20733
1500000US530330052004,530330052004,"Block Group 4, Census Tract 52, King County, Washington",35554,8493
1500000US530330052005,530330052005,"Block Group 5, Census Tract 52, King County, Washington",22272,7877
1500000US530330053011,530330053011,"Block Group 1, Census Tract 53.01, King County, Washington",7637,1933
1500000US530330053012,530330053012,"Block Group 2, Census Tract 53.01, King County, Washington",18351,4953
1500000US530330053013,530330053013,"Block Group 3, Census Tract 53.01, King County, Washington",15838,4715
1500000US530330053014,530330053014,"Block Group 4, Census Tract 53.01, King County, Washington",10893,3676
1500000US530330053021,530330053021,"Block Group 1, Census Tract 53.02, King County, Washington",2890,1923
1500000US530330053022,530330053022,"Block Group 2, Census Tract 53.02, King County, Washington",6174,1785
1500000US530330053023,530330053023,"Block Group 3, Census Tract 53.02, King County, Washington",2968,714
1500000US530330054001,530330054001,"Block Group 1, Census Tract 54, King County, Washington",55322,14424
1500000US530330054002,530330054002,"Block Group 2, Census Tract 54, King County, Washington",62964,10126
1500000US530330054003,530330054003,"Block Group 3, Census Tract 54, King County, Washington",63489,9806
1500000US530330054004,530330054004,"Block Group 4, Census Tract 54, King County, Washington",64416,19264
1500000US530330056001,530330056001,"Block Group 1, Census Tract 56, King County, Washington",82159,18219
1500000US530330056002,530330056002,"Block Group 2, Census Tract 56, King County, Washington",59275,7218
1500000US530330056003,530330056003,"Block Group 3, Census Tract 56, King County, Washington",105546,26348
1500000US530330056004,530330056004,"Block Group 4, Census Tract 56, King County, Washington",66835,11568
1500000US530330056005,530330056005,"Block Group 5, Census Tract 56, King County, Washington",81400,25108
1500000US530330057001,530330057001,"Block Group 1, Census Tract 57, King County, Washington",52256,35819
1500000US530330057002,530330057002,"Block Group 2, Census Tract 57, King County, Washington",83176,24345
1500000US530330057003,530330057003,"Block Group 3, Census Tract 57, King County, Washington",60723,13415
1500000US530330057004,530330057004,"Block Group 4, Census Tract 57, King County, Washington",46916,12910
1500000US530330057005,530330057005,"Block Group 5, Census Tract 57, King County, Washington",52778,12326
1500000US530330057006,530330057006,"Block Group 6, Census Tract 57, King County, Washington",54771,21501
1500000US530330058011,530330058011,"Block Group 1, Census Tract 58.01, King County, Washington",36321,7063
1500000US530330058012,530330058012,"Block Group 2, Census Tract 58.01, King County, Washington",45441,8018
1500000US530330058013,530330058013,"Block Group 3, Census Tract 58.01, King County, Washington",48599,8578
1500000US530330058014,530330058014,"Block Group 4, Census Tract 58.01, King County, Washington",56956,12749
1500000US530330058021,530330058021,"Block Group 1, Census Tract 58.02, King County, Washington",62598,12009
1500000US530330058022,530330058022,"Block Group 2, Census Tract 58.02, King County, Washington",46254,6887
1500000US530330058023,530330058023,"Block Group 3, Census Tract 58.02, King County, Washington",41455,8818
1500000US530330059001,530330059001,"Block Group 1, Census Tract 59, King County, Washington",35245,10249
1500000US530330059002,530330059002,"Block Group 2, Census Tract 59, King County, Washington",56124,18689
1500000US530330059003,530330059003,"Block Group 3, Census Tract 59, King County, Washington",14197,7388
1500000US530330059004,530330059004,"Block Group 4, Census Tract 59, King County, Washington",86530,25881
